Tên,Cấp,Vùng,Diện tích (km2),Dân số (nghìn người),Mật độ dân số,Độ dài bờ biển (km)
Thành phố Hà Nội,Thành phố Trung ương,Đồng bằng sông Hồng,3358.6,8093.9,2409.9029357470376,0.0
Tỉnh Hà Giang,Tỉnh,Đông Bắc Bộ,7929.5,858.1,108.21615486474558,0.0
Tỉnh Cao Bằng,Tỉnh,Đông Bắc Bộ,6700.3,530.9,79.23525812277062,0.0
Tỉnh Bắc Kạn,Tỉnh,Đông Bắc Bộ,4860.0,314.4,64.69135802469135,0.0
Tỉnh Tuyên Quang,Tỉnh,Đông Bắc Bộ,5867.9,786.3,134.0002385862063,0.0
Tỉnh Lào Cai,Tỉnh,Tây Bắc Bộ,6364.0,733.3,115.22627278441232,0.0
Tỉnh Điện Biên,Tỉnh,Tây Bắc Bộ,9541.3,601.7,63.06268537830275,0.0
Tỉnh Lai Châu,Tỉnh,Tây Bắc Bộ,9068.8,462.6,51.01005645730417,0.0
Tỉnh Sơn La,Tỉnh,Tây Bắc Bộ,14123.5,1252.7,88.69614472333345,0.0
Tỉnh Yên Bái,Tỉnh,Tây Bắc Bộ,6887.5,823.0,119.49183303085299,0.0
Tỉnh Hoà Bình,Tỉnh,Tây Bắc Bộ,4590.6,855.8,186.4244325360519,0.0
Tỉnh Thái Nguyên,Tỉnh,Đông Bắc Bộ,3526.6,1290.9,366.0466171383202,0.0
Tỉnh Lạng Sơn,Tỉnh,Đông Bắc Bộ,8310.1,782.8,94.19862576864297,0.0
Tỉnh Quảng Ninh,Tỉnh,Đông Bắc Bộ,6178.2,1324.8,214.43138778284938,130.0
Tỉnh Bắc Giang,Tỉnh,Đông Bắc Bộ,3895.6,1810.4,464.72943834069207,0.0
Tỉnh Phú Thọ,Tỉnh,Đông Bắc Bộ,3534.6,1466.4,414.8701408928875,0.0
Tỉnh Vĩnh Phúc,Tỉnh,Đồng bằng sông Hồng,1235.9,1154.8,934.3798041912776,0.0
Tỉnh Bắc Ninh,Tỉnh,Đồng bằng sông Hồng,822.7,1378.6,1675.7019569709491,0.0
Tỉnh Hải Dương,Tỉnh,Đồng bằng sông Hồng,1668.2,1896.9,1137.0938736362546,0.0
Thành phố Hải Phòng,Thành phố Trung ương,Đồng bằng sông Hồng,1561.8,2033.3,1301.8952490715842,72.0
